modelo,accuracy,f1_macro,f1_weighted,cv_f1_macro
Random Forest balanced,0.5169902912621359,0.5095698339849283,0.5095698339849283,0.5146179059955994
SVM RBF C=10 balanced,0.5121359223300971,0.504173699863355,0.504173699863355,0.5220297161682022
SVM RBF C=30 balanced,0.508495145631068,0.500951050025813,0.5009510500258129,0.5092440833360016
Gradient Boosting,0.4975728155339806,0.49473579505934584,0.49473579505934584,0.5195412203199412
