apertura_ojo_izq,apertura_ojo_der,apertura_ocular_promedio,curvatura_boca,posicion_ceja_izq,posicion_ceja_der,posicion_cejas_promedio,simetria_ocular,simetria_cejas,tension_boca,ancho_boca_normalizado,engagement
0.3118893222647876,0.29839950000658094,0.30514441113568425,0.0038992116511921745,0.2688969211738734,0.2607354646349258,0.2648161929043996,0.013489822258206663,0.00816145653894762,0.0022576300146710435,0.5789942042615176,concentrado
0.25818392578678545,0.2793970849790287,0.26879050538290705,0.2704620491833523,0.2636957353816123,0.2663471640793503,0.26502144973048125,0.02121315919224326,0.0026514286977379897,0.2156860026192213,0.7974701491514883,concentrado
0.4700848846234564,0.3411457248646037,0.40561530474403007,0.1934899753647485,0.3650494173945727,0.3302435448046739,0.34764648109962326,0.12893915975885267,0.03480587258989881,0.0934107549850642,0.48276508155690157,confundido
0.3350517187291841,0.303252939031139,0.31915232888016154,0.22679497683561373,0.3095443997668363,0.21422754364521326,0.2618859717060248,0.03179877969804512,0.09531685612162302,0.20751424871631763,0.9149834336792906,concentrado
0.40405358150325,0.49350363798990576,0.4487786097465779,0.04217862123460297,0.3525941500551182,0.3446846673842266,0.34863940871967236,0.08945005648665577,0.007909482670891588,0.025699972252773276,0.6093105795493083,confundido
0.47020871070345177,0.5434116312366303,0.506810170970041,0.06415309496078361,0.4242502086850439,0.35322353696878234,0.3887368728269131,0.0732029205331785,0.07102667171626154,0.028871509361099196,0.4500384619877521,sorprendido
0.24685723925746877,0.23513523273496925,0.240996235996219,0.16874223849575437,0.3065511934945656,0.3502412800804151,0.32839623678749036,0.011722006522499523,0.0436900865858495,0.12558637164258524,0.7442466817467214,concentrado
0.4803815585063809,0.5042464880103878,0.49231402325838436,0.11416549448860555,0.42141591510634696,0.4021513930093291,0.411783654057838,0.023864929504006926,0.019264522097017844,0.06138046994641746,0.5376419078583217,sorprendido
0.20716206775506713,0.137303100286914,0.17223258402099056,0.013135400016565076,0.3949011561025753,0.449580409973141,0.42224078303785817,0.06985896746815312,0.054679253870565714,0.006877342143628441,0.5235702999908379,aburrido
0.3295492628358736,0.22076187763780122,0.2751555702368374,0.028577396945228234,0.22651534358911232,0.25919775641419673,0.24285655000165451,0.10878738519807238,0.03268241282508441,0.016746450640677677,0.586000731727706,concentrado
0.478344347400583,0.39514595357113763,0.4367451504858603,0.0035740418716820508,0.4553195728624103,0.43407846704390096,0.44469901995315564,0.08319839382944538,0.021241105818509354,0.0043629728856602965,1.2207356669160756,concentrado
0.3986826778256369,0.37529874767651344,0.38699071275107516,0.039903818361965625,0.29506995975546446,0.3212920959839228,0.3081810278696936,0.023383930149123433,0.026222136228458315,0.022707125543399685,0.5690431436387409,aburrido
0.2369516204721032,0.26857997978752457,0.25276580012981387,0.5884372939435829,0.14456204341470955,0.14336639227444728,0.1439642178445784,0.03162835931542138,0.001195651140262266,0.30232199955174394,0.5137682296260077,confundido
0.3775213439419247,0.398681643006376,0.38810149347415035,0.0030467310495362796,0.4173628939851116,0.4372247694972463,0.42729383174117896,0.02116029906445127,0.019861875512134697,0.0022497522862786196,0.7384120634326994,confundido
0.24914531298123174,0.3554151083083929,0.3022802106448123,0.005424345388275317,0.3190700494679638,0.2843792498230924,0.3017246496455281,0.10626979532716116,0.03469079964487143,0.002851331385688761,0.525652398054995,aburrido
0.31349560612868577,0.35128607820222607,0.3323908421654559,0.1804959040872218,0.40955099024339847,0.42730870048361097,0.4184298453635047,0.037790472073540304,0.0177577102402125,0.1795410095520665,0.9947067283464409,concentrado
